subject_id,time,Acidovorax,Acinetobacter,Aeromonas,Aliarcobacter,Aquabacterium_A,Bacteroides,Brachymonas,Brevefilum,Brevundimonas,Cloacibacterium,Comamonas,Competibacter_A,Enterobacter,Fermentibacter,Flavobacterium,Giesbergeria,Hydrogenophaga,JAGOYM01,Janthinobacterium,Kaistella,Lactococcus_A,Lenti-01,Microthrix,Moraxella_A,Neisseria,Novosphingobium,Ottowia,Paracoccus,Phocaeicola,Prevotella,Propionivibrio,Pseudomonas_E,Pseudoxanthomonas,Pseudoxanthomonas_A,Psychrobacter,Rubrivivax,Streptococcus,Telluria,Thauera,Thermomonas,Thiothrix,Tolumonas,Trichococcus,UBA1413
Bologna,79,0.097290054,0.012418132,0.013641345,0.029255917,0.000209935,0.00327308,0.034036785,1.32886e-05,0.001277973,0.010775699,0.019080292,0.000220963,0.002976935,7.57718e-06,0.002358406,0.00383536,0.000472394,0.001129915,0.000934484,0.001160215,0.000130834,0.00469136,3.53782e-05,0.005533335,0.022439197,0.001335611,0.057019297,0.002926336,0.010853404,0.0036776,0.037656907,0.024970269,0.012200648,0.010198738,0.000177507,0.000468438,0.00661304,0.001863433,0.015535955,0.01651153,0.001623437,0.008248541,0.00206599,6.18262e-06
Bologna,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,81,0.1881272,0.021956649,0.006111473,0.009256471,0.00026679,0.002811458,0.047762018,1.94527e-05,0.000975056,0.010075307,0.014200649,0.000212407,0.002556367,5.23197e-06,0.002683623,0.014308116,0.001567556,0.000835404,0.000733025,0.00159544,6.91867e-05,0.003167585,5.32416e-05,0.013051561,0.01637592,0.001285506,0.035940062,0.00172128,0.000643434,0.001426182,0.014956333,0.14642596,0.012389069,0.007913776,0.02284246,0.000315788,0.006698424,0.000767907,0.008147531,0.012964894,0.006068267,0.000880671,0.004830434,1.40112e-05
Bologna,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,83,0.08698266,0.006239025,0.003367546,0.002115883,0.000164916,0.001088705,0.028407313,2.42464e-06,0.001073238,0.00349025,0.013007956,0.000183091,0.001974776,6.12519e-06,0.001768603,0.004297706,0.000967199,0.000209842,0.001083299,0.000553244,0.00012629,0.003565921,2.53808e-05,0.006837181,0.02708236,0.000793774,0.014532477,0.002071918,0.00069813,0.001239051,0.008505855,0.3714954,0.009315989,0.022629218,0.003510538,0.000189507,0.001794078,0.000683356,0.007606764,0.01811077,0.000960245,0.000728237,0.00300707,5.34189e-07
Bologna,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,85,0.027825776,0.003469193,0.000722008,0.000296406,0.000105034,6.33652e-05,0.004643409,2.44239e-06,0.000396283,0.001518733,0.001630264,0.00032566,0.000242493,2.2104e-06,0.000424286,0.003637814,0.001142448,8.04934e-05,0.000723699,0.000288883,3.66903e-05,0.000520871,5.02613e-06,0.000801462,0.005719422,0.000486801,0.004408356,0.000734924,6.55785e-05,0.000268891,0.001777692,0.852531,0.002756313,0.001780948,0.000208385,0.000128847,0.001282881,0.000456673,0.002856359,0.002979838,0.00037673,0.000176735,0.001876171,4.35851e-07
Bologna,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,88,0.14312363,0.047074705,0.007202506,0.004172002,0.000295184,0.001624196,0.021969702,7.32629e-06,0.004498427,0.007257356,0.01215162,0.00130397,0.006972807,5.45749e-05,0.004203059,0.003825984,0.000681095,0.001007611,0.001106726,0.002523183,0.000184778,0.004218807,2.83335e-05,0.034618538,0.047610797,0.000795673,0.06244432,0.011989151,0.001510683,0.002421464,0.007128822,0.013077896,0.015470223,0.012990821,0.000644431,0.000702683,0.014328362,0.00236296,0.012380015,0.011202781,0.001027526,0.002018087,0.012414479,4.22486e-07
